pair_id,dataset,ku_source,raw_api,canonical_api,canonical_owner,resolution_status,graph_eligible,reference,reference_origin,reference_locator,official_reference_available,ku,identified_relevance,relevant_groundtruth,resolution_candidates,resolution_reason,symbol_artifact,knowledge_entity_id,knowledge_entity_kind,corpus_eligible
SMACK-0001,smack,SO,PacketListener,org.jivesoftware.smack.PacketListener,org.jivesoftware.smack.PacketListener,resolved,1,Deprecated.? use StanzaListener instead,dataset_re,data/RE_reference/RE-smack.csv,1,"XMPP Unable to set up a Listener 

I've successfully connected to XMPP server (from android XMPP client), and I can send messages to a user, but I can't receive responses from that same user.

I'm sending messages like this:
    
    
     public void send_message(String message, String buddy) throws XMPPException {
    buddy += ""@localhost"";
    /* send message to user */
    Log.w(""Sending mesage "" + message + "" to user "" + buddy, ""0"");
    chat = chatManager.createChat(buddy, messageListener);
    chat.sendMessage(message);
    }
    

I'm passing the messageListener to the createChat function. The MessageListener's class is:
    
    
    class XMPPMessageListener implements MessageListener {
    private String from;
    private String body;
    public void processMessage(Chat chat, Message message) {
    this.from = message.getFrom();
    this.body = message.getBody();
    Log.w(""*****Received message"" + body + "" from "" + from, ""0*****"");
    }
    }
    

When sending a message to a user I'm getting the following debugging output:
    
    
    W/Sending mesage play to user test@localhost( 823): 0
    D/SMACK ( 823): 10:43:54 AM SENT (1156346368): test249ke0
    D/SMACK ( 823): 10:43:54 AM RCV (1156346368): 
    D/SMACK ( 823): 10:43:54 AM RCV (1156346368): 
    

And the message ""test"" is displayed to the connected user test (in this case). I'm sending the message from a user eleano. We can also see there's a debug output ""ending mesage play to user test@localhost"" being displayed on the screen, indicating that my function is indeed called successfully.

Upon receiving the message from test to eleano, I only get this debug output:
    
    
    D/SMACK ( 823): 10:44:00 AM RCV (1156346368): yes0tlK7o<
    D/SMACK ( 823): 10:44:00 AM RCV (1156346368): /thread>
    

But the user eleano is not receiving the message. We can also notice there's no:
    
    
    Log.w(""*****Received message"" + body + "" from "" + from, ""0*****"");
    

being displayed on the screen, so the MessageListener is never called. Why is that? I've set it up correctly as it says in documentation. 

Any ideas are welcome. And thanks.

Thanks for pointing that out. Your observation led me to setup a listener on connection (and to listen for packages of type Char), rather than setting a listener on the chat object itself.

Now my code looks like the following. I'm sending the packages like this:
    
    
    Message m = new Message(buddy, Message.Type.chat);
    m.setBody(message);
    connection.sendPacket(m);
    

And receiving the messages like the following:
    
    
     /* packet listener: listen for incoming messages of type CHAT on the connection (whatever the buddy) */
    PacketFilter filter = new MessageTypeFilter(Message.Type.chat); 
    xmppManager.connection.addPacketListener(new PacketListener() { 
    public void processPacket(Packet packet) {
    Message mes = (Message)packet;
    Log.w(""***""+mes.toString()+""***"",""0"");
    }
    }, filter);
    

And it works. I can send messages to the user and receive them just fine.",1,1,org.jivesoftware.smack.PacketListener,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smack.PacketListener,resolved_api,1
SMACK-0002,smack,SO,Node,org.jivesoftware.smackx.pubsub.Node,org.jivesoftware.smackx.pubsub.Node,resolved,1,This class translates low level item deletion events into api level objects for user consumption.,dataset_re,data/RE_reference/RE-smack.csv,1,"XEP-0080 User Location in Smack Library 

I would like to create a simple XMPP client in java that shares his location (XEP-0080) with other clients. I already know I can use the smack library for XMPP and that it supports PEP, which is needed for XEP-0080. Does anyone have an example how to implement this or any pointers, i don't find anything using google.

thanks in advance.

Kristof's right, the doc's are sparse - but they are getting better. There is a good, albeit hard to find, set of docs on extensions though. The PubSub one is at http://www.igniterealtime.org/fisheye/browse/~raw,r=11613/svn-org/smack/trunk/documentation/extensions/pubsub.html.

After going the from scratch custom IQ Provider route with an extension I found it was easier to do it using the managers as much as possible. The developers that wrote the managers have abstracted away a lot of the pain points. 

Example (modified-for-geoloc version of one rcollier wrote on the Smack forum):
    
    
    ConfigureForm form = new ConfigureForm(FormType.submit);
    form.setPersistentItems(false);
    form.setDeliverPayloads(true);
    form.setAccessModel(AccessModel.open);
    PubSubManager manager 
    = new PubSubManager(connection, ""pubsub.communitivity.com"");
    Node myNode = manager.createNode(""http://jabber.org/protocol/geoloc"", form);
    StringBuilder body = new StringBuilder(); //ws for readability
    body.append("""");
    body.append("" Italy"");
    body.append("" 45.44"");
    body.append("" Venice"");
    body.append("" 12.33"");
    body.append("" 20"");
    body.append("""");
    SimplePayload payload = new SimplePayload(
    ""geoloc"",
    ""http://jabber.org/protocol/geoloc"", 
    body.toString());
    String itemId = ""zz234"";
    Item item = new Item(itemId, payload);
    // Required to recieve the events being published
    myNode.addItemEventListener(myEventHandler);
    // Publish item
    myNode.publish(item);
    

Or at least that's the hard way :). Just remembered there's a PEPManager now...
    
    
    PEPProvider pepProvider = new PEPProvider();
    pepProvider.registerPEPParserExtension(
    ""http://jabber.org/protocol/tune"", new TuneProvider());
    ProviderManager.getInstance().addExtensionProvider(
    ""event"", 
    ""http://jabber.org/protocol/pubsub#event"", pepProvider);
    Tune tune = new Tune(""jeff"", ""1"", ""CD"", ""My Title"", ""My Track"");
    pepManager.publish(tune);
    

You'd need to write the GeoLocProvider and GeoLoc classes.",1,1,org.jivesoftware.smackx.pubsub.Node,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.pubsub.Node,resolved_api,1
SMACK-0003,smack,TU,FormField,org.jivesoftware.smackx.FormField,org.jivesoftware.smackx.FormField,resolved,1,"Represents a field of a form. The field could be used to represent a question to complete, a completed question or a data returned from a search. The exact interpretation of the field depends on the context where the field is used.",dataset_re,data/RE_reference/RE-smack.csv,1,"###  Create a Form to fill out

Description

An XMPP entity may need to gather data from another XMPP entity. Therefore, the data-gathering entity will need to create a new Form, specify the fields that will conform the Form and finally send the Form to the data-providing entity.

Usage

In order to create a Form to fill out use the  Form 's constructor passing the constant  Form.TYPE_FORM  as the parameter. The next step is to create the form fields and add them to the form. In order to create and customize a  FormField  use the  FormField 's constructor specifying the variable name of the field as the parameter. Then use  FormField.setType(String type)  to set the field's type (e.g. FormField.TYPE_HIDDEN, FormField.TYPE_TEXT_SINGLE). Once we have the  Form  instance and the FormFields the last step is to send  Form.addField(FormField field)  for each field that we want to add to the form.

Once the form to fill out is finished we will want to send it in a message. Send  Form.getDataFormToSend()  to the form and add the answer as an extension to the message to send.

Examples

In this example we can see how to create and send a form to fill out: 

> 
>           // Create a new form to gather data
>     Form formToSend = new Form(Form.TYPE_FORM);
>     formToSend.setInstructions(
>     ""Fill out this form to report your case.\nThe case will be created automatically."");
>     formToSend.setTitle(""Case configurations"");
>     // Add a hidden variable to the form
>     FormField field = new FormField(""hidden_var"");
>     field.setType(FormField.TYPE_HIDDEN);
>     field.addValue(""Some value for the hidden variable"");
>     formToSend.addField(field);
>     // Add a fixed variable to the form
>     field = new FormField();
>     field.addValue(""Section 1: Case description"");
>     formToSend.addField(field);
>     // Add a text-single variable to the form
>     field = new FormField(""name"");
>     field.setLabel(""Enter a name for the case"");
>     field.setType(FormField.TYPE_TEXT_SINGLE);
>     formToSend.addField(field);
>     // Add a text-multi variable to the form
>     field = new FormField(""description"");
>     field.setLabel(""Enter a description"");
>     field.setType(FormField.TYPE_TEXT_MULTI);
>     formToSend.addField(field);
>     // Create a chat with ""user2@host.com""
>     Chat chat = conn1.createChat(""user2@host.com"" );
>     Message msg = chat.createMessage();
>     msg.setBody(""To enter a case please fill out this form and send it back to me"");
>     // Add the form to fill out to the message to send
>     msg.addExtension(formToSend.getDataFormToSend());
>     // Send the message with the form to fill out
>     chat.sendMessage(msg);
>",1,1,org.jivesoftware.smackx.FormField,unique authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.FormField,resolved_api,1
SMACK-0004,smack,TU,LeafNode,org.jivesoftware.smackx.pubsub.LeafNode,org.jivesoftware.smackx.pubsub.LeafNode,resolved,1,"The main class for the majority of PubSub functionality. In general almost all PubSub capabilities are related to the concept of a node. All items are published to a node, and typically subscribed to by other users. These users then retrieve events based on this subscription.",dataset_re,data/RE_reference/RE-smack.csv,1,"###  Publishing to a node

Description

This section deals with the  LeafNode.publish  portion of pubsub. Usage of a node typically involves either sending or receiving data, referred to as items. Depending on the context of the nodes usage, the item being sent to it can have different properties. It can contain application data known as payload, or the publisher may choose to supply meaningful unique id's. Determination of an items acceptable properties is defined by a combination of node configuration and its purpose. 

Usage

To publish to a node, you will have to either create or retrieve an existing node and then create and send items to that node. The ability for any given person to publish to the node will be dependent on its configuration. 

Examples

In this example we publish an item to a node that does not take payload: 

> 
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     // Get the node
>     LeafNode node = mgr.getNode(""testNode"");
>     // Publish an Item, let service set the id
>     node.send(new Item());
>     // Publish an Item with the specified id
>     node.send(new Item(""123abc""));
>     

In this example we publish an item to a node that does take payload: 

> 
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     // Get the node
>     LeafNode node = mgr.getNode(""testNode"");
>     // Publish an Item with payload
>     node.send(new PayloadItem(""test"" + System.currentTimeMillis(), 
>     new SimplePayload(""book"", ""pubsub:test:book"", 
>     ""Two Towers"")));
>",1,0,org.jivesoftware.smackx.pubsub.LeafNode,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.pubsub.LeafNode,resolved_api,1
SMACK-0005,smack,TU,PubSubManager,org.jivesoftware.smackx.pubsub.PubSubManager,org.jivesoftware.smackx.pubsub.PubSubManager,resolved,1,"This is the starting point for access to the pubsub service. It will provide access to general information about the service, as well as create or retrieve pubsub LeafNode instances. These instances provide the bulk of the functionality as defined in the pubsub specification XEP-0060.",dataset_re,data/RE_reference/RE-smack.csv,1,"###  Discover pubsub information

Description

A user may want to query a server or node for a variety of pubsub related information.

Usage

To retrieve information, a user will simply use either the  PubSubManager  or  Node  classes depending on what type of information is required. Examples

In this example we can see how to get pubsub capabilities: 

> 
>           
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     // Get the pubsub features that are supported
>     DiscoverInfo supportedFeatures = mgr.getSupportedFeatures();
>     

In this example we can see how to get pubsub subscriptions for all nodes: 

> 
>           
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     // Get all the subscriptions in the pubsub service
>     List<Subscription> subscriptions = mgr.getSubscriptions();
>     

In this example we can see how to get all affiliations for the users bare JID on the pubsub service: 

> 
>           
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     // Get the affiliations for the users bare JID
>     List<Affiliation> affiliations = mgr.getAffiliations();
>     

In this example we can see how to get information about the node: 

> 
>           
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     Node node = mgr.getNode(""testNode"");
>     // Get the node information
>     DiscoverInfo nodeInfo = node.discoverInfo();
>     

In this example we can see how to discover the node items: 

> 
>           
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     Node node = mgr.getNode(""testNode"");
>     // Discover the node items
>     DiscoverItems nodeItems = node.discoverItems();
>     

In this example we can see how to get node subscriptions: 

> 
>           
>     // Create a pubsub manager using an existing Connection
>     PubSubManager mgr = new PubSubManager(con);
>     Node node = mgr.getNode(""testNode"");
>     // Discover the node subscriptions
>     List<Subscription> subscriptions = node.getSubscriptions();
>",1,1,org.jivesoftware.smackx.pubsub.PubSubManager,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.pubsub.PubSubManager,resolved_api,1
SMACK-0006,smack,TU,XHTMLManager,org.jivesoftware.smackx.XHTMLManager,org.jivesoftware.smackx.XHTMLManager,resolved,1,"Manages XHTML formatted texts within messages. A XHTMLManager provides a high level access to get and set XHTML bodies to messages, enable and disable XHTML support and check if remote XMPP clients support XHTML.",dataset_re,data/RE_reference/RE-smack.csv,1,"### Compose an XHTML Message - part 2

Create an instance of  XHTMLText  specifying the style and language of the body. You can add several XHTML bodies to the message but each body should be for a different language. Once you have an XHTMLText you can start to append tags and text to it. In order to append tags there are several messages that you can use. For each XHTML defined tag there is a message that you can send. In order to add text you can send the message  #XHTMLText.append(String textToAppend) .

After you have configured the XHTML text, the last step you have to do is to add the XHTML text to the message you want to send. If you decided to create the XHTML text by yourself, you will have to follow this last step too. In order to add the XHTML text to the message send the message  #XHTMLManager.addBody(Message message, String body)  to the  XHTMLManager  class where message is the message that will receive the XHTML body and body is the string to add as an XHTML body to the message.",1,1,org.jivesoftware.smackx.XHTMLManager,unique authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.XHTMLManager,resolved_api,1
SMACK-0007,smack,TU,MultiUserChat,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.MultiUserChat,resolved,1,"A MultiUserChat room (XEP-45), created with MultiUserChatManager.getMultiUserChat(EntityBareJid). A MultiUserChat is a conversation that takes place among many users in a virtual room. A room could have many occupants with different affiliation and roles. Possible affiliations are ""owner"", ""admin"", ""member"", and ""outcast"". Possible roles are ""moderator"", ""participant"", and ""visitor"". Each role and affiliation guarantees different privileges (e.g. Send messages to all occupants, Kick participants and visitors, Grant voice, Edit member list, etc.). Note: Make sure to leave the MUC (leave()) when you don't need it anymore or otherwise you may leak the instance.",dataset_re,data/RE_reference/RE-smack.csv,1,"###  Manage room invitations

Description

It can be useful to invite another user to a room in which one is an occupant. Depending on the room's type the invitee could receive a password to use to join the room and/or be added to the member list if the room is of type members-only. Smack allows to send room invitations and let potential invitees to listening for room invitations and inviters to listen for invitees' rejections.

Usage

In order to invite another user to a room you must be already joined to the room. Once you are joined just send  MultiUserChat.invite(String participant, String reason)  to the  MultiUserChat  where participant is the user to invite to the room (e.g. hecate@shakespeare.lit) and reason is the reason why the user is being invited.

If potential invitees want to listen for room invitations then the invitee must add an  InvitationListener  to the  MultiUserChat  class. Since the  InvitationListener  is an interface, it is necessary to create a class that implements this interface. If an inviter wants to listen for room invitation rejections, just add an  InvitationRejectionListener  to the  MultiUserChat .  InvitationRejectionListener  is also an interface so you will need to create a class that implements this interface.",1,1,org.jivesoftware.smackx.muc.MultiUserChat,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.muc.MultiUserChat,resolved_api,1
SMACK-0008,smack,TU,MultiUserChat,org.jivesoftware.smackx.muc.MultiUserChat,org.jivesoftware.smackx.muc.MultiUserChat,resolved,1,"A MultiUserChat room (XEP-45), created with MultiUserChatManager.getMultiUserChat(EntityBareJid). A MultiUserChat is a conversation that takes place among many users in a virtual room. A room could have many occupants with different affiliation and roles. Possible affiliations are ""owner"", ""admin"", ""member"", and ""outcast"". Possible roles are ""moderator"", ""participant"", and ""visitor"". Each role and affiliation guarantees different privileges (e.g. Send messages to all occupants, Kick participants and visitors, Grant voice, Edit member list, etc.). Note: Make sure to leave the MUC (leave()) when you don't need it anymore or otherwise you may leak the instance.",dataset_re,data/RE_reference/RE-smack.csv,1,"### Manage affiliation modifications - part 3

In order to ban a user from the room just send the message  MultiUserChat.banUser(String jid, String reason)  to  MultiUserChat .

Smack allows you to listen for affiliation modification events. If you are interested in listening affiliation modification events of any user then use the listener  ParticipantStatusListener . But if you are interested in listening for your own affiliation modification events, use the listener  UserStatusListener . Both listeners should be added to the  MultiUserChat  by using  MultiUserChat.addParticipantStatusListener(ParticipantStatusListener listener)  or  MultiUserChat.addUserStatusListener(UserStatusListener listener)  respectively. These listeners include several notification events but you may be interested in just a few of them. Smack provides default implementations for these listeners avoiding you to implement all the interfaces' methods. The default implementations are  DefaultUserStatusListener  and  DefaultParticipantStatusListener . Below you will find the sent messages to the listeners whenever a user's affiliation has changed.",1,1,org.jivesoftware.smackx.muc.MultiUserChat,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.muc.MultiUserChat,resolved_api,1
SMACK-0009,smack,SO,IQProvider,org.jivesoftware.smack.provider.IQProvider,org.jivesoftware.smack.provider.IQProvider,resolved,1,"An abstract class for parsing custom IQ packets. Each IQProvider must be registered with the ProviderManager class for it to be used. Every implementation of this abstract class must have a public, no-argument constructor.",dataset_re,data/RE_reference/RE-smack.csv,1,"Mapping Openfire Custom plugin with aSmack Client 

I'm a newbie to XMPP so forgive me if this question sounds silly. I want to create a custom plugin and map it with my aSmack client on Android. I'm trying to apply my knowledge of Web Services but I'm not winning. So please guide my thinking toward the best approach, an example will be really helpful. Thanx in advance.

There are many types of plugins, let's talk in general pourpose. Igniterealtime Plugin guide

You want to define a brand new IQ Stanza to manage an UserCustomParam. Let's say:
    
    
    
    
    

What you have to:

step 1: define a plugin (class that implemements Plugin) that adds a new handler
    
    
    MyCustomHandler colorshandler;
    IQRouter iqRouter = XMPPServer.getInstance().getIQRouter();
    iqRouter.addHandler(colorshandler);
    

Step2: implements MyCustomHandler as you need (read on database, write on database, read server side and so on).
    
    
    public class MyCustomHandler extends IQHandler {
    public static final String NAMESPACE_TICKET_IQ = ""com.records.iq"";
    public static final String TAG_TICKET_IQ = ""usercustomparam "";
    

Now your server it's ready to manage your custom IQ request.

Time to go client side:

Step3: register to your ProviderManager an IQProvider
    
    
    ProviderManager.addIQProvider(""usercustomparam "",""com.records.iq"", new IQUserCustomParamProvider());
    

Step4: implements your IQUserCustomParamProvider as you need
    
    
    public class IQUserCustomParamProvider extends IQProvider
    

into Provider you'll parse the incoming IQ from server and you'll create a IQUserCustomParam with an instance param like
    
    
    String favouriteColor
    

Step5: you need to implement IQUserCustomParam
    
    
    public class IQUserCustomParam extends IQ
    private final static String childElementName = ""usercustomparam"";
    private final static String childElementNamespace = ""com.records.iq"";
    public IQUserCustomParam (String color)
    {
    this(childElementName , childElementNamespace );
    this.setType(IQ.Type.result);
    this.setFavouriteColor(color);
    }
    

Step 6: now set up it's completed, but you haven't defined yet when to accept IQUserCustomParam when it comes from server. So you need a StanzaFilter
    
    
    public class IQUserCustomParamFilter implements StanzaFilter
    

Step 7: and you haven't defined yet what to do with IQUserCustomParam when it comes from server. So you need a StanzaListner
    
    
    public class IQUserCustomParamListner implements StanzaListener
    

Step 8: finally you'll have to register the combo filter/listner on your connection:
    
    
    AbstractXMPPConnection connection = ...;
    connection.addAsyncStanzaListener(new PersonalConfigListner(this), new IQMUCConfigTicketFIlter();
    

if that helped, please don't forget to accept the answer!",1,1,org.jivesoftware.smack.provider.IQProvider,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smack.provider.IQProvider,resolved_api,1
SMACK-0010,smack,SO,FileTransferListener,org.jivesoftware.smackx.filetransfer.FileTransferListener,org.jivesoftware.smackx.filetransfer.FileTransferListener,resolved,1,File transfers can cause several events to be raised. These events can be monitored through this interface.,dataset_re,data/RE_reference/RE-smack.csv,1,"Sending inline images using Smack XMPP 

I am about to create a simple xmpp java client application and for this I am considering to use the Smack XMPP library, which works pretty well.

One feature of the client should be to send inline images to your chatpartner. I browsed through the javadoc of SMACK but I was not able to find how it's possible to send images or in general binary data with SMACK/XMPP. I am not talking about a standard file transfer that the receiving user has to accept, but rather an image which can be sent within a message. Is this possible with SMACK/XMPP? Can anybody provide an example?

You can just make it accepted by default (the user won't be prompted) by using smth like:
    
    
    final FileTransferManager manager = new FileTransferManager(connection); //Use your xmpp connection
    manager.addFileTransferListener(new FileTransferListener() {
    public void fileTransferRequest(FileTransferRequest request) {
    IncomingFileTransfer transfer = request.accept();
    try {
    InputStream input = transfer.recieveFile();
    //This will be a binary stream and you can process it. Create image and display it inline in your chat app.
    } catch (XMPPException e) {
    e.printStackTrace();
    }
    }
    }",1,1,org.jivesoftware.smackx.filetransfer.FileTransferListener,dataset canonical hint exactly matches an authoritative class,org.igniterealtime.smack:smack+smackx:3.2.1,org.jivesoftware.smackx.filetransfer.FileTransferListener,resolved_api,1
